Dataset,Collection,Type,ID
Conceptual_Combinations,Alpaca,Unobserved,6
Conceptual_Combinations,Alpaca,Unobserved,7
Conceptual_Combinations,Alpaca,Unobserved,8
Hindu_Knowledge,Alpaca,Default,1
Hindu_Knowledge,Alpaca,QA,1
Hindu_Knowledge,Alpaca,QA,2
Hindu_Knowledge,Alpaca,QA,3
Hindu_Knowledge,Alpaca,QA,4
Hindu_Knowledge,Alpaca,QA,5
Hindu_Knowledge,Alpaca,QA,6
Hindu_Knowledge,Alpaca,QA,7
Hindu_Knowledge,Alpaca,QA,8
Hindu_Knowledge,Alpaca,QA,9
Hindu_Knowledge,Alpaca,QA,10
Hindu_Knowledge,Alpaca,QA,11
Hindu_Knowledge,Alpaca,QA,12
Hindu_Knowledge,Alpaca,QA,13
Hindu_Knowledge,Alpaca,QA,14
Hindu_Knowledge,Alpaca,QA,15
Hindu_Knowledge,Alpaca,QA,16
Hindu_Knowledge,Alpaca,QA,17
Hindu_Knowledge,Alpaca,QA,18
Hindu_Knowledge,Alpaca,QA,19
Hindu_Knowledge,Alpaca,QA,20
Hindu_Knowledge,Alpaca,Unobserved,1
Hindu_Knowledge,Alpaca,Unobserved,2
Hindu_Knowledge,Alpaca,Unobserved,3
Hindu_Knowledge,Alpaca,Unobserved,4
Hindu_Knowledge,Alpaca,Unobserved,5
Hindu_Knowledge,Alpaca,Unobserved,6
Hindu_Knowledge,Alpaca,Unobserved,7
Known_Unknowns,Alpaca,Default,1
Known_Unknowns,Alpaca,QA,1
Known_Unknowns,Alpaca,QA,2
Known_Unknowns,Alpaca,QA,3
Known_Unknowns,Alpaca,QA,4
Known_Unknowns,Alpaca,QA,5
Known_Unknowns,Alpaca,QA,6
Known_Unknowns,Alpaca,QA,7
Known_Unknowns,Alpaca,QA,8
Known_Unknowns,Alpaca,QA,9
Known_Unknowns,Alpaca,QA,10
Known_Unknowns,Alpaca,QA,11
Known_Unknowns,Alpaca,QA,12
Known_Unknowns,Alpaca,QA,13
Known_Unknowns,Alpaca,QA,14
Known_Unknowns,Alpaca,QA,15
Known_Unknowns,Alpaca,QA,16
Known_Unknowns,Alpaca,QA,17
Known_Unknowns,Alpaca,QA,18
Known_Unknowns,Alpaca,QA,19
Known_Unknowns,Alpaca,QA,20
Known_Unknowns,Alpaca,Unobserved,1
Known_Unknowns,Alpaca,Unobserved,2
Known_Unknowns,Alpaca,Unobserved,3
Known_Unknowns,Alpaca,Unobserved,4
Known_Unknowns,Alpaca,Unobserved,5
Known_Unknowns,Alpaca,Unobserved,6
Known_Unknowns,Alpaca,Unobserved,7
Language_Identification,Alpaca,QA,5
Language_Identification,Alpaca,Unobserved,1
Logic_Grid_Puzzle,Alpaca,QA,20
Logic_Grid_Puzzle,Alpaca,Unobserved,7
Logical_Deduction,Alpaca,QA,1
Logical_Deduction,Alpaca,QA,2
Logical_Deduction,Alpaca,QA,3
Logical_Deduction,Alpaca,QA,4
Logical_Deduction,Alpaca,Unobserved,1
Logical_Deduction,Alpaca,Unobserved,2
Logical_Deduction,Alpaca,Unobserved,3
Logical_Deduction,Alpaca,Unobserved,4
Novel_Concepts,Alpaca,Default,1
Novel_Concepts,Alpaca,QA,1
Novel_Concepts,Alpaca,QA,2
Novel_Concepts,Alpaca,QA,3
Novel_Concepts,Alpaca,QA,4
Novel_Concepts,Alpaca,QA,5
Novel_Concepts,Alpaca,QA,6
Novel_Concepts,Alpaca,QA,7
Novel_Concepts,Alpaca,QA,8
Novel_Concepts,Alpaca,QA,9
Novel_Concepts,Alpaca,QA,10
Novel_Concepts,Alpaca,QA,11
Novel_Concepts,Alpaca,QA,12
Novel_Concepts,Alpaca,QA,13
Novel_Concepts,Alpaca,QA,14
Novel_Concepts,Alpaca,QA,15
Novel_Concepts,Alpaca,QA,16
Novel_Concepts,Alpaca,QA,17
Novel_Concepts,Alpaca,QA,18
Novel_Concepts,Alpaca,QA,19
Novel_Concepts,Alpaca,QA,20
Novel_Concepts,Alpaca,Unobserved,1
Novel_Concepts,Alpaca,Unobserved,2
Novel_Concepts,Alpaca,Unobserved,3
Novel_Concepts,Alpaca,Unobserved,4
Novel_Concepts,Alpaca,Unobserved,5
Novel_Concepts,Alpaca,Unobserved,6
Novel_Concepts,Alpaca,Unobserved,7
Novel_Concepts,Alpaca,Unobserved,8
Novel_Concepts,Alpaca,Unobserved,9
Novel_Concepts,Alpaca,Unobserved,10
Play_Dialog,Alpaca,BC,1
Play_Dialog,Alpaca,Unobserved,7
Strange_Stories,Alpaca,BC,1
Strange_Stories,Alpaca,BC,2
Strange_Stories,Alpaca,BC,3
Strange_Stories,Alpaca,BC,4
Strange_Stories,Alpaca,BC,5
Strange_Stories,Alpaca,BC,6
Strange_Stories,Alpaca,BC,7
Strange_Stories,Alpaca,BC,8
Strange_Stories,Alpaca,BC,9
Strange_Stories,Alpaca,BC,10
Strange_Stories,Alpaca,BC,11
Strange_Stories,Alpaca,Default,1
Strange_Stories,Alpaca,Unobserved,1
Strange_Stories,Alpaca,Unobserved,2
Strange_Stories,Alpaca,Unobserved,3
Strange_Stories,Alpaca,Unobserved,4
Strange_Stories,Alpaca,Unobserved,5
Strange_Stories,Alpaca,Unobserved,6
Strange_Stories,Alpaca,Unobserved,7
Strange_Stories,Alpaca,Unobserved,8
Strange_Stories,Alpaca,Unobserved,9
Strange_Stories,Alpaca,Unobserved,10
StrategyQA,Alpaca,BC,2
StrategyQA,Alpaca,BC,4
StrategyQA,Alpaca,Unobserved,3
StrategyQA,Alpaca,Unobserved,10
Vitaminc_Fact_Verification,Alpaca,QA,2
Vitaminc_Fact_Verification,Alpaca,Unobserved,6
Winowhy,Alpaca,BC,4
Winowhy,Alpaca,BC,5
Winowhy,Alpaca,Unobserved,4
Winowhy,Alpaca,Unobserved,5
MMLU_General,Alpaca,QA,2
MMLU_General,Alpaca,Unobserved,27
